dataset,model,hyper,metric,value,fold,path,ts
user_10_item_1_exp,FMItem,"[('model_info_used', 'Item'), ('n_iter', 10)]",precision@10,0.03224946416435778,-1,/home/data/log/user_10_item_1_exp/FMItem/model_info_used_Item-n_iter_10/Ranking_fold_-1.parquet,2019-12-15 21:39:54.376275
user_10_item_1_exp,FMItem,"[('model_info_used', 'Item'), ('n_iter', 10)]",rmse,131.92927853498367,-1,/home/data/log/user_10_item_1_exp/FMItem/model_info_used_Item-n_iter_10/Rating_fold_-1.parquet,2019-12-15 21:39:54.385861
user_10_item_1_exp,BPR,"[('factors', 20), ('iteration', 20), ('learning_rate', 0.001), ('regularization', 0.1)]",ndcg@10,0.044866043804003115,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_20-iteration_20-learning_rate_0.001-regularization_0.1/Ranking_fold_-1.parquet,2019-12-15 21:52:36.102647
user_10_item_1_exp,BPR,"[('factors', 20), ('iteration', 20), ('learning_rate', 0.001), ('regularization', 0.1)]",precision@10,0.008740731705191997,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_20-iteration_20-learning_rate_0.001-regularization_0.1/Ranking_fold_-1.parquet,2019-12-15 21:52:36.103137
user_10_item_1_exp,BPR,"[('factors', 20), ('iteration', 20), ('learning_rate', 0.001), ('regularization', 0.1)]",rmse,0.9989069824955742,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_20-iteration_20-learning_rate_0.001-regularization_0.1/Rating_fold_-1.parquet,2019-12-15 21:52:36.111569
user_10_item_1_exp,BPR,"[('factors', 20), ('iteration', 100), ('learning_rate', 0.001), ('regularization', 0.1)]",ndcg@10,0.03512190350140761,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_20-iteration_100-learning_rate_0.001-regularization_0.1/Ranking_fold_-1.parquet,2019-12-15 22:04:41.056016
user_10_item_1_exp,BPR,"[('factors', 20), ('iteration', 100), ('learning_rate', 0.001), ('regularization', 0.1)]",precision@10,0.007161963179493437,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_20-iteration_100-learning_rate_0.001-regularization_0.1/Ranking_fold_-1.parquet,2019-12-15 22:04:41.056521
user_10_item_1_exp,BPR,"[('factors', 20), ('iteration', 100), ('learning_rate', 0.001), ('regularization', 0.1)]",rmse,0.9994386665314068,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_20-iteration_100-learning_rate_0.001-regularization_0.1/Rating_fold_-1.parquet,2019-12-15 22:04:41.064941
user_10_item_1_exp,BPR,"[('factors', 20), ('iteration', 100), ('learning_rate', 0.001), ('regularization', 0.001)]",ndcg@10,0.05856997436725434,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_20-iteration_100-learning_rate_0.001-regularization_0.001/Ranking_fold_-1.parquet,2019-12-15 22:18:04.232670
user_10_item_1_exp,BPR,"[('factors', 20), ('iteration', 100), ('learning_rate', 0.001), ('regularization', 0.001)]",precision@10,0.011129795335139801,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_20-iteration_100-learning_rate_0.001-regularization_0.001/Ranking_fold_-1.parquet,2019-12-15 22:18:04.233133
user_10_item_1_exp,BPR,"[('factors', 20), ('iteration', 100), ('learning_rate', 0.001), ('regularization', 0.001)]",rmse,0.9935980284588098,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_20-iteration_100-learning_rate_0.001-regularization_0.001/Rating_fold_-1.parquet,2019-12-15 22:18:04.260250
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.001), ('regularization', 0.001)]",ndcg@10,0.034786661291598575,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.001-regularization_0.001/Ranking_fold_-1.parquet,2019-12-15 22:57:00.384901
user_10_item_1_exp,BPR,"[('factors', 4), ('iteration', 100), ('learning_rate', 0.001), ('regularization', 0.001)]",precision@10,0.006426598590260779,-1,/home/data/log/user_10_item_1_exp/Test_implicit/factors_4-iteration_100-learning_rate_0.001-regularization_0.001/Ranking_fold_-1.parquet,2019-12-15 22:57:00.385554
