,model,hyper,metric,value,ts,k
0,CollectiveMF_Item,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@1,0.05542195967727883,2019-12-18 01:32:20.734647,1
1,CollectiveMF_Item,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@2,0.0784220301544163,2019-12-18 01:32:38.024594,2
2,CollectiveMF_Item,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@3,0.09279375197294662,2019-12-18 01:32:55.187776,3
3,CollectiveMF_Item,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@4,0.10354809542563054,2019-12-18 01:33:12.001429,4
4,CollectiveMF_Item,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@5,0.11201494551165324,2019-12-18 01:33:29.350053,5
5,CollectiveMF_Item,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@6,0.11911422755611473,2019-12-18 01:33:48.561930,6
6,CollectiveMF_Item,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@7,0.12505343562298232,2019-12-18 01:34:05.818648,7
7,CollectiveMF_Item,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@8,0.13033894417072783,2019-12-18 01:34:22.674496,8
8,CollectiveMF_Item,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@9,0.13495508364803635,2019-12-18 01:34:39.886431,9
9,CollectiveMF_Item,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@10,0.13918122178525763,2019-12-18 01:34:56.603330,10
10,CollectiveMF_User,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@1,0.054141653524783694,2019-12-18 01:35:13.741969,1
11,CollectiveMF_User,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@2,0.07719139916814165,2019-12-18 01:35:30.539110,2
12,CollectiveMF_User,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@3,0.09114938580262885,2019-12-18 01:35:47.684905,3
13,CollectiveMF_User,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@4,0.10130343567626289,2019-12-18 01:36:04.642493,4
14,CollectiveMF_User,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@5,0.10985799489107186,2019-12-18 01:36:22.016493,5
15,CollectiveMF_User,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@6,0.11684415346652213,2019-12-18 01:36:38.713625,6
16,CollectiveMF_User,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@7,0.12261496483621133,2019-12-18 01:36:55.478793,7
17,CollectiveMF_User,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@8,0.1279897644412716,2019-12-18 01:37:12.250524,8
18,CollectiveMF_User,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@9,0.13284986727003223,2019-12-18 01:37:29.233961,9
19,CollectiveMF_User,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@10,0.13722715694739976,2019-12-18 01:37:46.062914,10
20,CollectiveMF_Both,"[('k', 4), ('reg_param', 0.01), ('w_main', 1.0)]",ndcg@1,0.06968477181243143,2019-12-18 01:40:53.202766,1
21,CollectiveMF_Both,"[('k', 4), ('reg_param', 0.01), ('w_main', 1.0)]",ndcg@2,0.09795111081659988,2019-12-18 01:41:09.957247,2
22,CollectiveMF_Both,"[('k', 4), ('reg_param', 0.01), ('w_main', 1.0)]",ndcg@3,0.11628714511008101,2019-12-18 01:41:27.285208,3
23,CollectiveMF_Both,"[('k', 4), ('reg_param', 0.01), ('w_main', 1.0)]",ndcg@4,0.12961187421003928,2019-12-18 01:41:43.909104,4
24,CollectiveMF_Both,"[('k', 4), ('reg_param', 0.01), ('w_main', 1.0)]",ndcg@5,0.14041115274332616,2019-12-18 01:42:00.876120,5
25,CollectiveMF_Both,"[('k', 4), ('reg_param', 0.01), ('w_main', 1.0)]",ndcg@6,0.14931214262453468,2019-12-18 01:42:17.695146,6
26,CollectiveMF_Both,"[('k', 4), ('reg_param', 0.01), ('w_main', 1.0)]",ndcg@7,0.15699390562544654,2019-12-18 01:42:34.933966,7
27,CollectiveMF_Both,"[('k', 4), ('reg_param', 0.01), ('w_main', 1.0)]",ndcg@8,0.16393680452903744,2019-12-18 01:42:51.678437,8
28,CollectiveMF_Both,"[('k', 4), ('reg_param', 0.01), ('w_main', 1.0)]",ndcg@9,0.1697410753604486,2019-12-18 01:43:09.033844,9
29,CollectiveMF_Both,"[('k', 4), ('reg_param', 0.01), ('w_main', 1.0)]",ndcg@10,0.17519375060900866,2019-12-18 01:43:25.954941,10
30,CollectiveMF_No,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@1,0.05550957106636579,2019-12-18 01:38:03.318062,1
31,CollectiveMF_No,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@2,0.07833393164619455,2019-12-18 01:38:19.982051,2
32,CollectiveMF_No,"[('k', 16), ('reg_param', 0.01), ('w_main', 0.5)]",ndcg@3,0.0926317194534315,2019-12-18 01:38:37.513470,3
